   lon        lat        precip
  -66.3500   -37.8500     0.0000
  -66.2500   -37.8500     0.0000
  -66.1500   -37.8500     0.0000
  -66.0500   -37.8500     0.0000
  -65.9500   -37.8500     0.0000
  -65.8500   -37.8500     0.0000
  -65.7500   -37.8500     0.0000
  -65.6500   -37.8500     0.0000
  -65.5500   -37.8500     0.0000
  -65.4500   -37.8500     0.0000
  -65.3500   -37.8500     0.0000
  -65.2500   -37.8500     0.0000
  -65.1500   -37.8500     0.0000
  -65.0500   -37.8500     0.0000
  -64.9500   -37.8500     0.0000
  -64.8500   -37.8500     0.0000
  -64.7500   -37.8500     0.0000
  -64.6500   -37.8500     0.0000
  -64.5500   -37.8500     0.0000
  -64.4500   -37.8500     0.0000
  -64.3500   -37.8500     0.0000
  -64.2500   -37.8500     0.0000
  -64.1500   -37.8500     0.0000
  -64.0500   -37.8500     0.0000
  -63.9500   -37.8500     0.0000
  -63.8500   -37.8500     0.0000
  -63.7500   -37.8500     0.0000
  -63.6500   -37.8500     0.0000
  -63.5500   -37.8500     0.0000
  -63.4500   -37.8500     0.0000
  -63.3500   -37.8500     0.0000
  -63.2500   -37.8500     0.0000
  -63.1500   -37.8500     0.1146
  -63.0500   -37.8500     0.0000
  -62.9500   -37.8500     0.0000
  -62.8500   -37.8500     0.1389
  -62.7500   -37.8500     0.0000
  -62.6500   -37.8500     0.0000
  -62.5500   -37.8500     0.0847
  -62.4500   -37.8500     0.0000
  -62.3500   -37.8500     0.0996
  -62.2500   -37.8500     0.1159
  -62.1500   -37.8500     0.0559
  -62.0500   -37.8500     0.1312
  -61.9500   -37.8500     0.3325
  -61.8500   -37.8500     0.1095
  -61.7500   -37.8500     0.0378
  -61.6500   -37.8500     0.0773
  -61.5500   -37.8500     0.1039
  -61.4500   -37.8500     0.0826
  -61.3500   -37.8500     0.0427
  -61.2500   -37.8500     0.0648
  -61.1500   -37.8500     0.1330
  -61.0500   -37.8500     0.2683
  -60.9500   -37.8500     0.5625
  -60.8500   -37.8500     1.3163
  -60.7500   -37.8500     1.5126
  -60.6500   -37.8500     1.0588
  -60.5500   -37.8500     1.6025
  -60.4500   -37.8500     0.7521
  -60.3500   -37.8500     1.0030
  -60.2500   -37.8500     0.8250
  -60.1500   -37.8500     1.7692
  -60.0500   -37.8500     1.2526
  -59.9500   -37.8500     0.9882
  -59.8500   -37.8500     0.7268
  -59.7500   -37.8500     0.7631
  -59.6500   -37.8500     1.0230
  -59.5500   -37.8500     0.7003
  -59.4500   -37.8500     0.8779
  -59.3500   -37.8500     0.7724
  -59.2500   -37.8500     0.6516
  -59.1500   -37.8500     0.5482
  -59.0500   -37.8500     0.5325
  -58.9500   -37.8500     0.4977
  -58.8500   -37.8500     0.3498
  -58.7500   -37.8500     0.3694
  -58.6500   -37.8500     0.2874
  -58.5500   -37.8500     0.3038
  -58.4500   -37.8500     0.3359
  -58.3500   -37.8500     0.2954
  -58.2500   -37.8500     0.2785
  -58.1500   -37.8500     0.2731
  -58.0500   -37.8500     0.2798
  -57.9500   -37.8500     0.2768
  -57.8500   -37.8500     0.2599
  -57.7500   -37.8500     0.2378
  -57.6500   -37.8500     0.2121
  -57.5500   -37.8500     0.2588
  -57.4500   -37.8500     0.2441
  -57.3500   -37.8500     0.3181
  -57.2500   -37.8500     0.2500
  -57.1500   -37.8500     0.1500
  -57.0500   -37.8500     0.2250
  -56.9500   -37.8500     0.2250
  -56.8500   -37.8500     0.1500
  -56.7500   -37.8500     0.1000
  -56.6500   -37.8500     0.1000
  -56.5500   -37.8500     0.0250
  -56.4500   -37.8500     0.0250
  -56.3500   -37.8500     0.0000
  -56.2500   -37.8500     0.0000
  -56.1500   -37.8500     0.0000
  -56.0500   -37.8500     0.0000
  -55.9500   -37.8500     0.0000
  -68.0500   -37.7500     0.0000
  -67.9500   -37.7500     0.0000
  -67.8500   -37.7500     0.0000
  -67.7500   -37.7500     0.0000
  -67.6500   -37.7500     0.0000
  -67.5500   -37.7500     0.0000
  -67.4500   -37.7500     0.0000
  -67.3500   -37.7500     0.0000
  -67.2500   -37.7500     0.0000
  -67.1500   -37.7500     0.0000
  -67.0500   -37.7500     0.0000
  -66.9500   -37.7500     0.0000
  -66.8500   -37.7500     0.0000
  -66.7500   -37.7500     0.0000
  -66.6500   -37.7500     0.0000
  -66.5500   -37.7500     0.0000
  -66.4500   -37.7500     0.0000
  -66.3500   -37.7500     0.0000
  -66.2500   -37.7500     0.0000
  -66.1500   -37.7500     0.0000
  -66.0500   -37.7500     0.0000
  -65.9500   -37.7500     0.0000
  -65.8500   -37.7500     0.0000
  -65.7500   -37.7500     0.0000
  -65.6500   -37.7500     0.0000
  -65.5500   -37.7500     0.0000
  -65.4500   -37.7500     0.0000
  -65.3500   -37.7500     0.0000
  -65.2500   -37.7500     0.0000
  -65.1500   -37.7500     0.0000
  -65.0500   -37.7500     0.0000
  -64.9500   -37.7500     0.0000
  -64.8500   -37.7500     0.0000
  -64.7500   -37.7500     0.0000
